iter	Passed	Remaining
583	2196	1564
584	2199	1560
585	2202	1555
586	2206	1552
587	2210	1548
588	2213	1544
589	2217	1540
590	2220	1536
591	2223	1532
592	2226	1527
593	2229	1523
594	2232	1519
595	2237	1516
596	2244	1514
597	2251	1513
598	2263	1515
599	2268	1512
600	2273	1509
601	2277	1505
602	2283	1503
603	2288	1500
604	2292	1496
605	2296	1493
606	2300	1489
607	2304	1485
608	2308	1482
609	2314	1479
610	2320	1477
611	2324	1473
612	2330	1471
613	2336	1468
614	2353	1473
615	2358	1470
616	2364	1467
617	2367	1463
618	2372	1460
619	2380	1459
620	2386	1456
621	2392	1454
622	2397	1450
623	2400	1446
624	2404	1442
625	2411	1440
626	2418	1438
627	2423	1435
628	2427	1432
629	2431	1427
630	2434	1423
631	2439	1420
632	2446	1418
633	2450	1414
634	2457	1412
635	2462	1409
636	2465	1405
637	2469	1401
638	2477	1399
639	2481	1396
640	2488	1393
641	2492	1389
642	2496	1386
643	2500	1382
644	2509	1381
645	2514	1377
646	2518	1374
647	2523	1370
648	2528	1367
649	2532	1363
650	2540	1361
651	2545	1358
652	2549	1354
653	2557	1352
654	2560	1348
655	2564	1344
656	2569	1341
657	2574	1338
658	2578	1334
659	2583	1331
660	2587	1326
661	2591	1323
662	2595	1319
663	2599	1315
664	2605	1312
665	2609	1308
666	2613	1304
667	2617	1301
668	2624	1298
669	2628	1294
670	2634	1291
671	2641	1289
672	2644	1285
673	2648	1280
674	2654	1277
675	2658	1274
676	2662	1270
677	2665	1266
678	2669	1262
679	2673	1258
680	2678	1254
681	2683	1251
682	2687	1247
683	2690	1243
684	2694	1239
685	2699	1235
686	2702	1231
687	2705	1226
688	2709	1222
689	2712	1218
690	2715	1214
691	2718	1209
692	2721	1205
693	2725	1201
694	2728	1197
695	2731	1193
696	2735	1189
697	2738	1184
698	2741	1180
699	2744	1176
700	2747	1172
701	2750	1167
702	2753	1163
703	2759	1160
704	2762	1156
705	2767	1152
706	2770	1148
707	2773	1143
708	2776	1139
709	2779	1135
710	2781	1130
711	2784	1126
712	2788	1122
713	2796	1120
714	2799	1115
715	2802	1111
716	2805	1107
717	2809	1103
718	2811	1098
719	2815	1094
720	2818	1090
721	2823	1086
722	2826	1082
723	2830	1078
724	2833	1074
